data_table,experiment,figure,files,params,reason,status,title_en,title_uk
runs/drone\figures\K01.csv,E02,K01,runs/drone\figures\K01.png;runs/drone\figures\K01.svg;runs/drone\figures\K01.pdf,runs/drone\figures\K01.json,,ready,What each method really provides,Що кожен метод справді дає
,E03,K02,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,The crossover,Точка перелому
,E04,K03,,,немає таблиці interaction.csv - відповідний експеримент не запускався у цьому прогоні,pending,Operating map,Карта режимів
,E05,K04,,,немає таблиці codewords.csv - відповідний експеримент не запускався у цьому прогоні,pending,Placement trade-off,Розміщення: компроміс без переможця
runs/drone\figures\K05.csv,E13,K05,runs/drone\figures\K05.png;runs/drone\figures\K05.svg;runs/drone\figures\K05.pdf,runs/drone\figures\K05.json,,ready,Where the advantage comes from,Звідки береться перевага
,E01,K06,,,немає таблиці e01_rate_quality.csv - відповідний експеримент не запускався у цьому прогоні,pending,The price of compression,Ціна стиснення
runs/drone\figures\K07.csv,E02,K07,runs/drone\figures\K07.png;runs/drone\figures\K07.svg;runs/drone\figures\K07.pdf,runs/drone\figures\K07.json,,ready,End-to-end example,Наскрізний приклад
runs/drone\figures\K08.csv,E02,K08,runs/drone\figures\K08.png;runs/drone\figures\K08.svg;runs/drone\figures\K08.pdf,runs/drone\figures\K08.json,,ready,What the viewer is shown,Що саме показано глядачу
runs/drone\figures\K09.csv,E09,K09,runs/drone\figures\K09.png;runs/drone\figures\K09.svg;runs/drone\figures\K09.pdf,runs/drone\figures\K09.json,,ready,"Budget, latency, memory","Бюджет, затримка, пам'ять"
,E08,K10,,,немає файлу attacks.json,pending,The 2021 scheme is broken,Схема 2021 року зламана
runs/drone\figures\K11.csv,E13,K11,runs/drone\figures\K11.png;runs/drone\figures\K11.svg;runs/drone\figures\K11.pdf,runs/drone\figures\K11.json,,ready,The order of the steps decides,Порядок кроків вирішує
runs/drone\figures\K12.csv,E14,K12,runs/drone\figures\K12.png;runs/drone\figures\K12.svg;runs/drone\figures\K12.pdf,runs/drone\figures\K12.json,,ready,Twenty-four independent sources,24 незалежні джерела
,E15,K13,,,немає таблиці operating_map.csv - відповідний експеримент не запускався у цьому прогоні,pending,Operating region map,Карта області працездатності
runs/drone\figures\G01.csv,E02,G01,runs/drone\figures\G01.png;runs/drone\figures\G01.svg;runs/drone\figures\G01.pdf,runs/drone\figures\G01.json,,ready,End-to-end examples,Наскрізні приклади
runs/drone\figures\G02.csv,E02,G02,runs/drone\figures\G02.png;runs/drone\figures\G02.svg;runs/drone\figures\G02.pdf,runs/drone\figures\G02.json,,ready,Availability maps,Карти доступності
runs/drone\figures\G03.csv,E02,G03,runs/drone\figures\G03.png;runs/drone\figures\G03.svg;runs/drone\figures\G03.pdf,runs/drone\figures\G03.json,,ready,Quality across five profiles,Якість у п'яти профілях
runs/drone\figures\G04.csv,E02,G04,runs/drone\figures\G04.png;runs/drone\figures\G04.svg;runs/drone\figures\G04.pdf,runs/drone\figures\G04.json,,ready,Structural quality,Структурна якість
runs/drone\figures\G05.csv,E02,G05,runs/drone\figures\G05.png;runs/drone\figures\G05.svg;runs/drone\figures\G05.pdf,runs/drone\figures\G05.json,,ready,Current authenticated coverage,Поточне автентифіковане покриття
runs/drone\figures\G06.csv,E02,G06,runs/drone\figures\G06.png;runs/drone\figures\G06.svg;runs/drone\figures\G06.pdf,runs/drone\figures\G06.json,,ready,Operability,Працездатність
runs/drone\figures\G07.csv,E02,G07,runs/drone\figures\G07.png;runs/drone\figures\G07.svg;runs/drone\figures\G07.pdf,runs/drone\figures\G07.json,,ready,Paired advantage of P over B4,Парна перевага P над B4
runs/drone\figures\G08.csv,E02,G08,runs/drone\figures\G08.png;runs/drone\figures\G08.svg;runs/drone\figures\G08.pdf,runs/drone\figures\G08.json,,ready,Per-scene results,Результати окремих сцен
