category,clip_id,content_sha256,crop,derivation,first_frame_dhash,fps,height,license,n_frames,notes,parent_scene_id,provenance,source_credit,source_id,source_kind,source_license,source_sha256,split,t_end_s,t_start_s,width
low-detail,nat_049791232,ca05d7f3e027237607b12a7cbc2de9d7685dd818a545528064740d97d28e261f,"547,947,1984,1754",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,c5c1c1c2c2c48898,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4, CC BY-SA 4.0, Wanjak Atikomchakorn)",natural:49791232,local_file,Wanjak Atikomchakorn,commons:49791232,data\real\natural\049791232_1062_mu_koh_lanta_national_park_04.jpg,CC BY-SA 4.0,b6a8ba1749b87612ab65973f5c435bb80591a1f8853de7d0c5b2593970af38ab,calibration,1.9201,0.0,256
low-detail,nat_051432999,2dfef11b962580e9d31ff8a601387ade1d8ee4dc3b354a92afc2537154204a5a,"1361,1702,2798,2779",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,6b63f37373fb1818,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4, CC BY-SA 4.0, Max Bond)",natural:51432999,local_file,Max Bond,commons:51432999,data\real\natural\051432999_149dji_0001.jpg,CC BY-SA 4.0,23962cd7f57113f818ff10e9120765062619c2c13b2ede054edad4a46414339b,calibration,1.9201,0.0,256
low-detail,nat_055431116,6cfd67adbd95832c81c205c91e027570011ce3360cf6c74754d05bf7feaa5128,"187,1202,1624,2011",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,e9edf6f4f8f8fcfd,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4 Pro, CC BY-SA 4.0, Chensiyuan)",natural:55431116,local_file,Chensiyuan,commons:55431116,data\real\natural\055431116_1_pano_xinping_yangshupo_cropped.jpg,CC BY-SA 4.0,8e64cabb883db096120edaccc5a24b2b80dc0e7212bcbbd6fd60eae5a633d49e,calibration,1.9201,0.0,256
low-detail,nat_061831815,942b98b58e2488aacf574e0eba5395a1e29f0479b0ceb21f59aba5e572783f61,"1710,297,3147,1104",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,c216b997e5d0d63e,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Pro, CC BY-SA 4.0, Lilo01260)",natural:61831815,local_file,Lilo01260,commons:61831815,data\real\natural\061831815_2017_07_11_ruffieu.jpg,CC BY-SA 4.0,3290c71cb9dd36c800fdf1f964e99b9d3b7587330e3dba9ed01911dfe7e7842a,calibration,1.9201,0.0,256
low-detail,nat_062082479,48a2a1776c2147bf1fe839f809c2391e03068ca27c90efcc76d62af40aca5f99,"648,1266,2085,2343",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,e1f2e3e9fada1f0e,8.333,192,CC0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4 Pro, CC0, Mifxal Latheef droneworxmv)",natural:62082479,local_file,Mifxal Latheef droneworxmv,commons:62082479,data\real\natural\062082479_99_water_and_1_land_unsplash.jpg,CC0,f50a220794a47b705ab7778814595f6f254484eedc6e632ae0134e4c19724558,calibration,1.9201,0.0,256
low-detail,nat_062215126,3a63d737e2b880355e9876a0e76cb4a5145d9502b1976581298f7827a4e214c1,"2082,1097,4126,2245",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,e93a7858783a30f0,8.333,192,CC0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4 Pro, CC0, Sweet Ice Cream Photography sweeticecreamphotography)",natural:62215126,local_file,Sweet Ice Cream Photography sweeticecreamphotography,commons:62215126,data\real\natural\062215126_aerial_composition_unsplash.jpg,CC0,81c22c19818a52d1221af2799c0f6e288c9a16f6185e90dec23e4d6d9e45a795,validation,1.9201,0.0,256
low-detail,nat_063313480,71960677b1f8644338ad5df33b1d2a92fa5b45a834f2666a5710963c2e8c19ec,"1732,1278,3169,2355",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,4e525b50c8d8b8d9,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Pro, CC BY-SA 4.0, Alimdaihli)",natural:63313480,local_file,Alimdaihli,commons:63313480,data\real\natural\063313480_2017_06_ali_00977.jpg,CC BY-SA 4.0,2b0ee41becf97cbcabe3b5dff27890dc09270930f64c3df24cb44f76b6693635,validation,1.9201,0.0,256
low-detail,nat_064724797,df11d7714645906359977544d447f6435b340407a4fbe290347cc5dd75692f34,"654,38,2091,1115",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,ce96beb9388a9b5f,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Pro, CC BY-SA 4.0, Legolas1024)",natural:64724797,local_file,Legolas1024,commons:64724797,data\real\natural\064724797_1933.jpg,CC BY-SA 4.0,4cf578059a6aed299c99237ca3088c9ab50f6647dafadbee804e0244efd55b6e,validation,1.9201,0.0,256
low-detail,nat_073211073,9f6dbc82f840c410f973eb8249277537d69f3e97c62bc1c2ecf45a54385e0967,"1606,966,3043,1773",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,a9fab5988c8e6446,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4 Pro V2.0, CC BY-SA 4.0, Balazs Mocsar)",natural:73211073,local_file,Balazs Mocsar,commons:73211073,data\real\natural\073211073_broadwood_s_tower.jpg,CC BY-SA 4.0,b065c69f5efcf537d82c109b198b7b7648cd909ce148e3aafc4b632e0ff51a4f,validation,1.9201,0.0,256
low-detail,nat_074267785,f1f3e6dcc7e0db59b8d7bdca06180af795257c0186111df526fb8b33c394e245,"2057,254,3494,1211",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,bab03e11313127a1,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4 Pro V2.0, CC BY-SA 4.0, Mnsesq)",natural:74267785,local_file,Mnsesq,commons:74267785,data\real\natural\074267785_country_pond.jpg,CC BY-SA 4.0,2f0db3dd3c7a3a2f12c7d8a651700973712f8e7c026f380f8db303a04b8dba6d,validation,1.9201,0.0,256
