check,expected,observed,passed
check0,accept,,True
check1,ReplayDetected,,True
check2,AuthenticationFailed,,True
check3,AuthenticationFailed,,True
check4,AuthenticationFailed,,True
check5,AuthenticationFailed,,True
check6,AuthenticationFailed,,True
check7,AuthenticationFailed,,True
check8,AuthenticationFailed,,True
check9,AuthenticationFailed,,True
check10,AuthenticationFailed,,True
check11,AuthenticationFailed,,True
check12,AuthenticationFailed,,True
check13,AuthenticationFailed,,True
check14,AuthenticationFailed,,True
check15,AuthenticationFailed,,True
check16,AuthenticationFailed,,True
check17,AuthenticationFailed,,True
check18,AuthenticationFailed,,True
check19,AuthenticationFailed,,True
check20,AuthenticationFailed,,True
check21,AuthenticationFailed,,True
check22,AuthenticationFailed,,True
check23,"strictly increasing, no caller-chosen counter",,True
check24,NonceExhausted,,True
check25,UnknownVersion,,True
check26,UnknownProfile,,True
check27,FramingError,,True
check28,FramingError,,True
check29,FramingError,,True
check30,FramingError,,True
check31,FramingError,,True
check32,FramingError,,True
check33,not a forgery: the identical protected message is restored,,True
check34,rejected by FEC or by AEAD,,True
