assumptions,content,metrics,name,notes,seconds,success
static permutation; attacker controls or knows one full input frame,,"{'permutation_accuracy': 1.0, 'n_blocks': 192.0, 'n_frames_used': 1.0}",chosen_plaintext_permutation_recovery,Recovering a static permutation does not break an independently regenerated permutation.,0.0011646000002656365,True
"one (original, scrambled) pair under the same permutation",smooth,"{'n_blocks': 192.0, 'mean_match_cost': 0.0, 'permutation_accuracy': 1.0}",known_plaintext_tile_matching,,0.03101509999942209,True
ciphertext-only; public grid; natural image continuity across seams,smooth,"{'n_blocks': 192.0, 'direct_accuracy': 0.0, 'neighbour_accuracy': 0.949438202247191, 'reconstruction_psnr_db': 24.681112285187794}",boundary_compatibility_reassembly,Greedy best-buddy jigsaw solver; no learned model is used.,0.07945459999973536,False
"one (original, scrambled) pair under the same permutation",edges,"{'n_blocks': 192.0, 'mean_match_cost': 0.0, 'permutation_accuracy': 0.3333333333333333}",known_plaintext_tile_matching,,0.032114200000251,True
ciphertext-only; public grid; natural image continuity across seams,edges,"{'n_blocks': 192.0, 'direct_accuracy': 0.010416666666666666, 'neighbour_accuracy': 0.033707865168539325, 'reconstruction_psnr_db': 6.033210412854942}",boundary_compatibility_reassembly,Greedy best-buddy jigsaw solver; no learned model is used.,0.07979939999950147,False
"one (original, scrambled) pair under the same permutation",text,"{'n_blocks': 192.0, 'mean_match_cost': 0.0, 'permutation_accuracy': 0.5364583333333334}",known_plaintext_tile_matching,,0.033049700000447046,True
ciphertext-only; public grid; natural image continuity across seams,text,"{'n_blocks': 192.0, 'direct_accuracy': 0.0, 'neighbour_accuracy': 0.03089887640449438, 'reconstruction_psnr_db': 13.027386367024139}",boundary_compatibility_reassembly,Greedy best-buddy jigsaw solver; no learned model is used.,0.08546380000007048,False
"one (original, scrambled) pair under the same permutation",texture,"{'n_blocks': 192.0, 'mean_match_cost': 0.0, 'permutation_accuracy': 1.0}",known_plaintext_tile_matching,,0.03249119999964023,True
ciphertext-only; public grid; natural image continuity across seams,texture,"{'n_blocks': 192.0, 'direct_accuracy': 0.005208333333333333, 'neighbour_accuracy': 0.6741573033707865, 'reconstruction_psnr_db': 14.620146310552848}",boundary_compatibility_reassembly,Greedy best-buddy jigsaw solver; no learned model is used.,0.10586539999985689,False
permutation reused across frames; attacker sees many scrambled frames,,"{'permutation_accuracy': 0.5104166666666666, 'n_frames': 12.0, 'n_blocks': 192.0}",multi_frame_variance_fingerprint,Shows why a per-frame permutation is required; still not a confidentiality proof for the per-frame variant.,0.0034318999996685307,True
"known (original, scrambled) pair; seed space = our reconstruction parameter",,"{'seed_found': 44257.0, 'seeds_tried': 44257.0, 'key_space': 65535.0, 'seeds_per_second': 8178.895245755668}",lfsr_seed_bruteforce,key space 2^16-1 = 65535; searched 44257,5.411121999999523,True
